NAME,INTERNAL REFERANCE,CATEGORY,TYPE,BARCODE,UOM,PURCHASE UOM,SALE PRICE,COST PRICE,WEIGHT,VOLUME
PAMPER BEEF & CHICK     6x385g,,All,Product,,Unit(s),Unit(s),,,,
PAMPER LAMB & CHICK.    6x400g,,All,Product,,Unit(s),Unit(s),,,,
PAMPER TURKEY & BEEF    6x400g,,All,Product,,Unit(s),Unit(s),,,,
PAMPER BEEF & CHICK    12x385g,,All,Product,,Unit(s),Unit(s),,,,
PURINA VITAGEN M/LAMB      8kg,,All,Product,,Unit(s),Unit(s),,,,
KIT KAT 4FINGER         48x45g,,All,Product,,Unit(s),Unit(s),,,,
TEX SMALL               30x22g,,All,Product,,Unit(s),Unit(s),,,,
PURINA VITAGEN CHICKEN  1.75kg,,All,Product,,Unit(s),Unit(s),,,,
CERELAC STA1 BL REG     1x500g,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.2 BABY FOOD    2x6x250g,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.2 BABY FOOD      6x250g,,All,Product,,Unit(s),Unit(s),,,,
CERELAC STA2 BL HONEY  24x250g,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.1 BABY FOOD  SW  6x250g,,All,Product,,Unit(s),Unit(s),,,,
NESPRAY CANS        SW  6x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE CON.MILK CS*24x397/385g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE CON.MILK SW  6x397/385g,,All,Product,,Unit(s),Unit(s),,,,
CERELAC STA1 BL BANANA  6x250g,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.1 BABY FOOD  CS*12x250g,,All,Product,,Unit(s),Unit(s),,,,
NESPRAY CANS        CS*12x250g,,All,Product,,Unit(s),Unit(s),,,,
MILO                     1x2kg,,All,Product,,Unit(s),Unit(s),,,,
NESTLE COCOA            6x125g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE COCOA           6x62.5g,,All,Product,,Unit(s),Unit(s),,,,
CREMORA BOX             20x1kg,,All,Product,,Unit(s),Unit(s),,,,
CREMORA BOX                1kg,,All,Product,,Unit(s),Unit(s),,,,
MILO                SW   6x2Kg,,All,Product,,Unit(s),Unit(s),,,,
MILO               CS   12x1kg,,All,Product,,Unit(s),Unit(s),,,,
MILO               EA    1x1Kg,,All,Product,,Unit(s),Unit(s),,,,
MILO               SW  12x500g,,All,Product,,Unit(s),Unit(s),,,,
MILO               SW   6x500g,,All,Product,,Unit(s),Unit(s),,,,
MILO               EA   1x500g,,All,Product,,Unit(s),Unit(s),,,,
MILO               SW  12x250g,,All,Product,,Unit(s),Unit(s),,,,
MILO               SW   6x250g,,All,Product,,Unit(s),Unit(s),,,,
MILO               SW    6x1Kg,,All,Product,,Unit(s),Unit(s),,,,
MILO               SW  24x125g,,All,Product,,Unit(s),Unit(s),,,,
MILO               SW  12x125g,,All,Product,,Unit(s),Unit(s),,,,
MILO               SW   6x125g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE COCOA        CS*12x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE COCOA        SW  6x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE COCOA        CS*12x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE COCOA        SW  6x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE COCOA          4x6x125g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE COCOA         4x6x62.5g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE COCOA        SW  1x500g,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY TINS        SW  6x750g,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY TINS        EA  1x750g,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY TINS        SW 12x250g,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY TINS        SW  6x250g,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY TINS        EA  1x250g,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY TINS        * 2x6x750g,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY TINS        CS*24x100g,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY TINS        SW  6x100g,,All,Product,,Unit(s),Unit(s),,,,
LAZENBY MAGGI WORCES 2x6x250ml,,All,Product,,Unit(s),Unit(s),,,,
LAZENBY MAGGI WORCES   6x250ml,,All,Product,,Unit(s),Unit(s),,,,
LAZENBY MAGGI WORCES  12x125ml,,All,Product,,Unit(s),Unit(s),,,,
MAGGI CHILLI SAUCE   4x6x250ml,,All,Product,,Unit(s),Unit(s),,,,
MAGGI CHILLI SAUCE SW  6x250ml,,All,Product,,Unit(s),Unit(s),,,,
MAGGI GAR/CHILLI SAUC 24x250ml,,All,Product,,Unit(s),Unit(s),,,,
MAGGI GARL/CHILLI SAUC 6x250ml,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY             CS 6x1.5kg,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY             EA   1.5kg,,All,Product,,Unit(s),Unit(s),,,,
PELARGON N01 BABY FOOD  6x250g,,All,Product,,Unit(s),Unit(s),,,,
PELARGON N01 BABY FOOD2x6x250g,,All,Product,,Unit(s),Unit(s),,,,
PURINA VITAGEN CHICK 10x1.75kg,,All,Product,,Unit(s),Unit(s),,,,
NESTLE CREAM           24x290g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE CREAM            6x290g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE CREAM           24x155g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE CREAM            6x155g,,All,Product,,Unit(s),Unit(s),,,,
GOLD CROSS CON/MILK 6x397/385g,,All,Product,,Unit(s),Unit(s),,,,
GOLD CROSS CON/MILK24x397/385g,,All,Product,,Unit(s),Unit(s),,,,
LAZENBY MAGGI WORCES   1x250ml,,All,Product,,Unit(s),Unit(s),,,,
MAGGI CHILLI SAUCE     1x250ml,,All,Product,,Unit(s),Unit(s),,,,
KIT KAT 2FINGER CHOC    36x21g,,All,Product,,Unit(s),Unit(s),,,,
MAGGI GAR/CHILLI SAUCE 1x250ml,,All,Product,,Unit(s),Unit(s),,,,
PAMPER LAMB & CHICK.   12x400g,,All,Product,,Unit(s),Unit(s),,,,
PAMPER STEAK & KIDNEY  12x400g,,All,Product,,Unit(s),Unit(s),,,,
PAMPER TURKEY & BEEF   12x400g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA1 F/CER PRO 4x6x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA2 MXD CER PR 24x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA2 MXD CER PR 12x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA2 HONEY       6x250g,,All,Product,,Unit(s),Unit(s),,,,
HUSKY CHICKEN       6x775/820g,,All,Product,,Unit(s),Unit(s),,,,
BUTCH BEEF             12x420g,,All,Product,,Unit(s),Unit(s),,,,
BUTCH CHICKEN          12x420g,,All,Product,,Unit(s),Unit(s),,,,
PURINA VITAGEN M/STEAK     8kg,,All,Product,,Unit(s),Unit(s),,,,
PURINA VITAGEN GRILL STEAK 8kg,,All,Product,,Unit(s),Unit(s),,,,
HUSKY CHUNKY CHICKEN   12x400g,,All,Product,,Unit(s),Unit(s),,,,
LACTOGEN NO.1          12x250g,,All,Product,,Unit(s),Unit(s),,,,
LACTOGEN NO.2          12x250g,,All,Product,,Unit(s),Unit(s),,,,
CERELAC STA1 BL REGULAR24x250g,,All,Product,,Unit(s),Unit(s),,,,
CERELAC STA1 BL BANANA 24x250g,,All,Product,,Unit(s),Unit(s),,,,
LACTOGEN NO.1           6x250g,,All,Product,,Unit(s),Unit(s),,,,
LACTOGEN NO.2           6x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA1 F/CER PRO   6x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA2 MXD CER PR  6x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA2 MXD CER PR  1x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA2 MXD CER PR  6x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA2 HONEY     4x6x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE NESQUIK STRAW   12x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE NESQUIK CHOC    12x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE NESQUIK STRAW.  12x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE NESQUIK CHOC.   12x500g,,All,Product,,Unit(s),Unit(s),,,,
TEX SMALL 1/2 BOX        1x15s,,All,Product,,Unit(s),Unit(s),,,,
NESTLE NESQUIK STRAW    6x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE NESQUIK STRAW    6x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE NESQUIK STRAW    1x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE NESQUIK CHOC     6x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE NESQUIK CHOC     6x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE NESQUIK CHOC     1x500g,,All,Product,,Unit(s),Unit(s),,,,
CERELAC STA2 BL HONEY   6x250g,,All,Product,,Unit(s),Unit(s),,,,
CERELAC STA1 BL REGULAR 6x250g,,All,Product,,Unit(s),Unit(s),,,,
CERELAC STA1 BL REG    12x500g,,All,Product,,Unit(s),Unit(s),,,,
CERELAC STA1 BL REG     6x500g,,All,Product,,Unit(s),Unit(s),,,,
HUSKY REAL BEEF     6x775/820g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE SLABS MILK       12x80g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE SLABS MILKY BAR  12x80g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE SLABS MILO BAR   12x80g,,All,Product,,Unit(s),Unit(s),,,,
CREMORA SACHETS        40x250g,,All,Product,,Unit(s),Unit(s),,,,
CREMORA SACHETS        10x250g,,All,Product,,Unit(s),Unit(s),,,,
KLIM                  2x6x250g,,All,Product,,Unit(s),Unit(s),,,,
KLIM                    6x250g,,All,Product,,Unit(s),Unit(s),,,,
KLIM POLY BAGS         12x500g,,All,Product,,Unit(s),Unit(s),,,,
KLIM POLY BAGS          1x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE SLAB M/BAR-SMAR. 12x80g,,All,Product,,Unit(s),Unit(s),,,,
LAZENBY MAGGI WORCES   6x125ml,,All,Product,,Unit(s),Unit(s),,,,
NESTLE HOT CHOCOLATE  2x6x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE HOT CHOCOLATE    6x500g,,All,Product,,Unit(s),Unit(s),,,,
IDEAL EVAPORATED MILK 4x6x380g,,All,Product,,Unit(s),Unit(s),,,,
IDEAL EVAPORATED MILK   6x380g,,All,Product,,Unit(s),Unit(s),,,,
NESPRAY SACHETS        12x500g,,All,Product,,Unit(s),Unit(s),,,,
NESPRAY SACHETS           500g,,All,Product,,Unit(s),Unit(s),,,,
BUTCH BEEF              6x420g,,All,Product,,Unit(s),Unit(s),,,,
BUTCH CHICKEN           6x420g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE HOT CHOCOLATE    6x250g,,All,Product,,Unit(s),Unit(s),,,,
